c t tln
2 0.00000 0.00000
50000 0.35500 0.03281
100000 0.71300 0.06193
150000 1.13500 0.09523
200000 1.59400 0.13059
250000 2.08700 0.16791
300000 2.57700 0.20434
350000 3.07500 0.24088
400000 3.54000 0.27444
450000 4.05200 0.31129
500000 4.60000 0.35055
550000 5.20800 0.39402
